Run,Assay Type,AvgSpotLen,Bases,BioProject,BioSample,BioSampleModel,Bytes,Center Name,Collection_date,Consent,DATASTORE filetype,DATASTORE provider,DATASTORE region,Experiment,geo_loc_name_country,geo_loc_name_country_continent,geo_loc_name,Host,Instrument,Isolation_source,lat_lon,Library Name,LibraryLayout,LibrarySelection,LibrarySource,Organism,Platform,ReleaseDate,Sample Name,SRA Study
SRR11825867,AMPLICON,590,26500440,PRJNA633959,SAMN14978585,Metagenome or environmental,14550429,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX8376560,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C29.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825868,AMPLICON,594,30371814,PRJNA633959,SAMN14978585,Metagenome or environmental,16764192,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8376559,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C28.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825869,AMPLICON,596,27141244,PRJNA633959,SAMN14978585,Metagenome or environmental,14817523,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8376558,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C27.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825870,AMPLICON,599,32299877,PRJNA633959,SAMN14978585,Metagenome or environmental,17984356,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8376557,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C26.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825871,AMPLICON,590,32801640,PRJNA633959,SAMN14978585,Metagenome or environmental,17906132,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8376556,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C25.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825872,AMPLICON,594,35139852,PRJNA633959,SAMN14978585,Metagenome or environmental,19133120,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8376555,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C24.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825873,AMPLICON,596,18084428,PRJNA633959,SAMN14978585,Metagenome or environmental,10570435,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX8376554,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD17.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825874,AMPLICON,596,26841456,PRJNA633959,SAMN14978585,Metagenome or environmental,15143243,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX8376553,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C23.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825875,AMPLICON,599,41489136,PRJNA633959,SAMN14978585,Metagenome or environmental,22605228,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8376552,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C22.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825876,AMPLICON,590,33032920,PRJNA633959,SAMN14978585,Metagenome or environmental,18190921,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX8376551,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C21.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825877,AMPLICON,594,33153516,PRJNA633959,SAMN14978585,Metagenome or environmental,18238980,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","gs,s3,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8376550,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C20.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825878,AMPLICON,596,33855780,PRJNA633959,SAMN14978585,Metagenome or environmental,18892027,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX8376549,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C19.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825879,AMPLICON,599,42572727,PRJNA633959,SAMN14978585,Metagenome or environmental,23682898,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8376548,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C18.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825880,AMPLICON,590,34262480,PRJNA633959,SAMN14978585,Metagenome or environmental,18764986,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","gs,ncbi,s3","gs.US,s3.us-east-1,ncbi.public",SRX8376547,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C17.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825881,AMPLICON,594,30074220,PRJNA633959,SAMN14978585,Metagenome or environmental,16437160,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX8376546,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C16.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825882,AMPLICON,596,31063520,PRJNA633959,SAMN14978585,Metagenome or environmental,17104202,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","s3,gs,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8376545,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C15.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825883,AMPLICON,599,41842546,PRJNA633959,SAMN14978585,Metagenome or environmental,22831540,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","s3,ncbi,gs","s3.us-east-1,gs.US,ncbi.public",SRX8376544,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C13.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825884,AMPLICON,599,26677663,PRJNA633959,SAMN14978585,Metagenome or environmental,14981486,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8376543,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD16.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825885,AMPLICON,590,32710190,PRJNA633959,SAMN14978585,Metagenome or environmental,17987185,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,ncbi.public,gs.US",SRX8376542,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C12.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825886,AMPLICON,594,30545856,PRJNA633959,SAMN14978585,Metagenome or environmental,16795125,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX8376541,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C11.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825887,AMPLICON,596,29598552,PRJNA633959,SAMN14978585,Metagenome or environmental,16282339,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8376540,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C10.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825888,AMPLICON,599,40162351,PRJNA633959,SAMN14978585,Metagenome or environmental,22027271,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8376539,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C09.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825889,AMPLICON,590,37455560,PRJNA633959,SAMN14978585,Metagenome or environmental,20097657,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8376538,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C08.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825890,AMPLICON,594,33264000,PRJNA633959,SAMN14978585,Metagenome or environmental,17985228,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","ncbi,gs,s3","ncbi.public,s3.us-east-1,gs.US",SRX8376537,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C07.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825891,AMPLICON,596,25196496,PRJNA633959,SAMN14978585,Metagenome or environmental,13900013,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","gs,ncbi,s3","ncbi.public,s3.us-east-1,gs.US",SRX8376536,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C05.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825892,AMPLICON,599,45520406,PRJNA633959,SAMN14978585,Metagenome or environmental,24530197,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX8376535,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C03.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825893,AMPLICON,590,34450690,PRJNA633959,SAMN14978585,Metagenome or environmental,18760779,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8376534,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C02.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825894,AMPLICON,594,34381314,PRJNA633959,SAMN14978585,Metagenome or environmental,18728704,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX8376533,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,C01.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825895,AMPLICON,590,27669820,PRJNA633959,SAMN14978585,Metagenome or environmental,15361344,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","s3,gs,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8376532,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD14.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825896,AMPLICON,594,21965526,PRJNA633959,SAMN14978585,Metagenome or environmental,12450205,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","s3,gs,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8376531,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD04.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825897,AMPLICON,596,23040168,PRJNA633959,SAMN14978585,Metagenome or environmental,13240704,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","gs,ncbi,s3","gs.US,ncbi.public,s3.us-east-1",SRX8376530,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD01.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825898,AMPLICON,590,33057110,PRJNA633959,SAMN14978585,Metagenome or environmental,17874044,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","gs,s3,ncbi","ncbi.public,s3.us-east-1,gs.US",SRX8376528,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD64.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825899,AMPLICON,594,31378644,PRJNA633959,SAMN14978585,Metagenome or environmental,17121607,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8376527,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD63.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825900,AMPLICON,596,24683936,PRJNA633959,SAMN14978585,Metagenome or environmental,14245469,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX8376526,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD62.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825901,AMPLICON,599,32381940,PRJNA633959,SAMN14978585,Metagenome or environmental,17859541,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","s3,gs,ncbi","gs.US,s3.us-east-1,ncbi.public",SRX8376525,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD61.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825902,AMPLICON,590,35140990,PRJNA633959,SAMN14978585,Metagenome or environmental,19885989,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX8376524,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD60.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825903,AMPLICON,594,33231330,PRJNA633959,SAMN14978585,Metagenome or environmental,18224687,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","gs,s3,ncbi","ncbi.public,gs.US,s3.us-east-1",SRX8376523,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD59.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825904,AMPLICON,596,26805696,PRJNA633959,SAMN14978585,Metagenome or environmental,15028544,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","gs,s3,ncbi","s3.us-east-1,gs.US,ncbi.public",SRX8376522,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD08.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825905,AMPLICON,596,27168660,PRJNA633959,SAMN14978585,Metagenome or environmental,15358522,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","s3,ncbi,gs","s3.us-east-1,ncbi.public,gs.US",SRX8376521,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD58.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825906,AMPLICON,599,40439089,PRJNA633959,SAMN14978585,Metagenome or environmental,22757578,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","s3,ncbi,gs","ncbi.public,gs.US,s3.us-east-1",SRX8376520,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD55.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825907,AMPLICON,590,35193500,PRJNA633959,SAMN14978585,Metagenome or environmental,19612048,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","gs,s3,ncbi","s3.us-east-1,ncbi.public,gs.US",SRX8376519,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD54.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825908,AMPLICON,594,38782854,PRJNA633959,SAMN14978585,Metagenome or environmental,21155630,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX8376518,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD53.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825909,AMPLICON,596,30034824,PRJNA633959,SAMN14978585,Metagenome or environmental,16803863,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","ncbi,s3,gs","gs.US,s3.us-east-1,ncbi.public",SRX8376517,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD50.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825910,AMPLICON,590,30051060,PRJNA633959,SAMN14978585,Metagenome or environmental,16780624,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","ncbi,gs,s3","s3.us-east-1,ncbi.public,gs.US",SRX8376516,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD47.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825911,AMPLICON,594,30724650,PRJNA633959,SAMN14978585,Metagenome or environmental,16771294,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","ncbi,s3,gs","ncbi.public,s3.us-east-1,gs.US",SRX8376515,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD41.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825912,AMPLICON,596,28829712,PRJNA633959,SAMN14978585,Metagenome or environmental,16171348,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","gs,s3,ncbi","gs.US,ncbi.public,s3.us-east-1",SRX8376514,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD40.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825913,AMPLICON,599,36940929,PRJNA633959,SAMN14978585,Metagenome or environmental,20679687,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","gs,ncbi,s3","ncbi.public,gs.US,s3.us-east-1",SRX8376513,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD37.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825914,AMPLICON,590,37542880,PRJNA633959,SAMN14978585,Metagenome or environmental,21462824,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","ncbi,s3,gs","s3.us-east-1,gs.US,ncbi.public",SRX8376512,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD36.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825915,AMPLICON,599,44106167,PRJNA633959,SAMN14978585,Metagenome or environmental,24422303,ZHEJIANG UNIVERSITY,2019-10-01,public,"sra,fastq","s3,ncbi,gs","gs.US,ncbi.public,s3.us-east-1",SRX8376511,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD07.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
SRR11825916,AMPLICON,594,32737716,PRJNA633959,SAMN14978585,Metagenome or environmental,17746298,ZHEJIANG UNIVERSITY,2019-10-01,public,"fastq,sra","s3,ncbi,gs","ncbi.public,s3.us-east-1,gs.US",SRX8376510,China,Asia,China,Homo sapiens,Illumina MiSeq,feces,not collected,AD35.fq,PAIRED,PCR,METAGENOMIC,human gut metagenome,ILLUMINA,2020-05-21T00:00:00Z,LZX-AD,SRP262626
