pathway	AD01	AD04	AD05	AD07	AD08	AD09	AD10	AD100	AD101	AD102	AD103	AD104	AD105	AD106	AD107	AD108	AD109	AD11	AD110	AD111	AD112	AD113	AD114	AD116	AD118	AD119	AD12	AD120	AD121	AD122	AD123	AD125	AD126	AD127	AD13	AD14	AD16	AD17	AD18	AD19	AD20	AD21	AD22	AD23	AD24	AD25	AD26	AD27	AD29	AD30	AD31	AD32	AD33	AD34	AD35	AD36	AD37	AD40	AD41	AD47	AD50	AD53	AD54	AD55	AD58	AD59	AD60	AD61	AD62	AD63	AD64	AD65	AD66	AD67	AD68	AD69	AD70	AD71	AD74	AD75	AD76	AD77	AD78	AD79	AD80	AD83	AD84	AD85	AD86	AD88	AD89	AD90	AD91	AD92	AD93	AD94	AD96	AD97	AD98	AD99	C01	C02	C03	C05	C07	C08	C09	C10	C11	C12	C13	C15	C16	C17	C18	C19	C20	C21	C22	C23	C24	C25	C26	C27	C28	C29	C30	C31	C32	C33	C34	C35	C36	C39	C40	C42	C43	C44	C46	C49	C50	C51	C52	C54	C55	C57	C58	C59	C60	C61	C62	C63	C64	C71	C72	C73	C74	C75	C76	C77	C78	C79	C80	C81	C82	C83	C84	C85	C86	C87	C88	Description
GALLATE-DEGRADATION-I-PWY	14.0	6202.6408	10.0	1102.4801	484.0	1595.0	19.0	477.9751	958.4585	586.3699	101.0	708.0	3.956	28.125	9417.8571	61.0	23.8089	99.8617	10.0	5.0	3399.0	630.8938	208.0	3236.8902	2149.0	2115.0	0.0	228.0	18695.8971	20160.0	42.0	1028.0	4969.0	42.0	236.0	0.0	0.0	0.0	90.0	5.0	0.0	63.0	99.0	0.0	45.0	2.0	0.0	0.0	99.6861	4.0	12.0	4841.9499	0.0	8.0	0.0	0.0	0.0	54.0	0.0	64.0	5938.0	173.7931	0.0	78.0	0.0	70.0	34.1348	15.7303	14.0	12.0	537.0	0.0	0.0	11415.4948	0.0	19.968	144.9201	5588.2136	239.0	13.0	1288.0	0.0	117.0	11720.0	17506.6603	0.0	697.5021	902.7786	339.0	2140.8071	2042.6176	17.0	5.0	8.0	574.2419	10307.0	249.7115	0.0	749.0	19.0	408.0	20.0	0.0	2687.9755	0.0	9.0	829.0	19.0	20.0	107.0	0.0	96.0	0.0	30.9947	0.0	85.0	307.0	9.0	552.6747	510.0	0.0	469.8438	187.0518	120.0	0.0	7276.6943	0.0	0.0	26.0	0.0	547.9602	4706.4808	13.0	41.0	1145.0	490.1662	1467.019	556.0	18.2143	7628.0	40.0	89.0	275.1756	1224.4702	120.0	670.0	6525.9775	136.0	23931.0	22.0	146.0	605.0	12.0	9000.0	27.0	20.0	28.0	15.0	0.0	36.0	20110.0	71.0	0.0	218.3192	19.0	0.0	0.0	3.0	4.0	0.0	4.0	gallate degradation II
GALLATE-DEGRADATION-II-PWY	14.0	6202.6408	10.0	1102.4801	491.1668	1785.656	19.0	477.9751	958.4585	586.3699	101.0	712.8963	3.956	28.125	9417.8571	61.0	14.0369	133.3521	10.0	5.0	3399.0	630.8938	208.0	3247.2333	2152.483	2131.5997	0.0	229.7106	18811.2457	20861.488	44.4706	1033.8967	4972.2436	42.0	257.8485	0.0	0.0	0.0	93.7226	5.0	0.0	63.0	99.0	0.0	45.0	2.0	0.0	0.0	104.8585	4.0	12.0	5228.8241	0.0	8.0	0.0	0.0	0.0	54.0	0.0	66.0353	5996.2347	173.7931	0.0	78.0	0.0	70.0	38.6687	15.7303	14.0	12.0	592.8838	0.0	0.0	11415.4948	0.0	19.968	144.9201	5588.2136	239.0	13.0	1290.9792	0.0	121.4318	11724.2454	17506.6603	0.0	697.5021	914.6578	364.2405	2231.9566	2337.9312	17.0	5.0	8.0	574.2419	10349.7123	249.7115	0.0	749.0	19.0	408.0	20.0	0.0	2687.9755	0.0	9.0	835.1118	19.0	20.0	107.0	0.0	96.0	0.0	41.3086	0.0	85.0	347.8532	9.0	631.1442	566.3324	0.0	476.2137	264.3293	137.1429	0.0	9812.5452	0.0	0.0	28.8516	0.0	582.1962	4779.1357	13.0	45.2887	1145.0	496.3636	1480.1853	556.0	21.4737	8631.497	45.7143	89.0	275.1756	1229.9278	120.0	674.1706	6665.9376	143.8541	26801.7726	25.1429	146.0	605.0	12.0	9000.0	27.0	20.0	28.0	17.1429	0.0	41.1429	20110.0	71.0	0.0	218.3192	19.0	0.0	0.0	3.0	4.0	0.0	4.0	gallate degradation I
GLCMANNANAUT-PWY	4970.4491	8306.7345	2125.8351	9707.3223	4366.3543	9212.6968	3425.1173	10323.5838	14334.994	13013.6139	7090.3801	9626.591	9145.4794	14341.2515	15567.7651	3813.3061	7466.5216	15105.9839	137.1161	7213.1823	6762.5521	15864.0987	6850.4328	15984.1174	11051.162	15508.9233	5097.0692	16234.7468	11938.6336	16100.6606	4639.6835	8535.4005	18090.0793	23200.082	5816.3434	7236.8196	3693.8389	4392.934	5615.3398	12469.5117	7355.4461	799.1666	4934.269	3555.1417	11101.3401	8225.971	3527.6019	950.5849	9298.5594	8046.9649	9719.0047	29483.0125	9048.4896	7129.3198	7942.8757	2390.287	8332.2495	6325.5838	6272.6123	1126.7516	11411.343	11384.2923	15671.7045	7528.1494	12908.858	11467.1212	6303.0364	24759.4382	5966.0449	7289.2001	5493.9322	10083.307	3679.7635	12948.5943	1096.4491	8993.3879	4508.0343	12116.9159	2822.0159	11038.1251	15518.1928	6708.7145	11585.7442	21332.3463	3943.7085	13526.6554	17592.0565	23984.5463	14852.0096	18112.8373	17851.5143	6985.9547	20179.7274	9821.1827	16758.7062	17261.5628	19192.5548	14721.2493	8229.0217	762.8915	5516.6344	26096.1066	4403.7362	10045.1639	4822.2615	9064.4975	11065.8229	6251.9906	4717.1711	2827.3575	4841.0255	10530.5012	2955.9793	30155.0939	12710.6891	3287.909	12535.7966	29465.407	13177.6609	10960.7206	5595.5044	5692.056	17384.5223	6495.6013	4007.1033	6264.5843	4007.417	2697.4707	6767.104	5537.794	5439.9541	5923.9443	3542.0043	8957.8932	30202.8633	4162.0154	9306.924	5204.4136	6392.481	19976.1572	4959.7191	2980.8364	28468.395	7802.0368	14106.1062	7075.2851	18222.1692	13785.978	22958.0021	3208.7719	5598.988	2961.7199	6196.0079	15437.8741	13364.9381	8579.2374	20560.5682	4187.5564	3054.065	8858.1581	2385.83	4244.2756	3900.8956	2970.4087	17543.9378	11565.2912	2942.017	6517.6926	8257.7463	9499.1871	7697.7816	superpathway of N-acetylglucosamine, N-acetylmannosamine and N-acetylneuraminate degradation
GLUCARDEG-PWY	327.0045	7226.1118	44.3696	4973.0995	1036.9944	3295.0593	438.0415	843.0628	7866.642	7197.6212	570.6268	3822.4681	549.8882	6124.9979	11902.6449	281.5794	713.0062	11993.5536	28.9157	370.6403	4919.4996	9148.6135	1905.158	11169.4363	2948.103	10181.5545	435.1398	7125.774	24098.1232	22532.2653	1826.5747	2469.2583	12307.1285	19529.3265	1840.5331	3532.9089	328.1981	21.9414	1421.8987	607.166	158.2833	287.938	543.6624	31.1802	7383.5411	4440.2673	352.2687	10.56	1565.757	937.3284	3187.655	26102.7345	257.8849	684.7591	342.7401	949.7684	1618.1204	418.3659	917.7941	247.4301	10387.9733	143.5038	7446.4836	385.8338	1572.126	174.4854	1252.1882	14238.5092	1762.1463	249.1637	1164.3758	7036.2012	161.6991	11616.2919	23.9886	1630.6902	316.8065	6813.4898	1289.4001	1176.7969	2465.137	1366.0134	4206.2625	13294.4581	17780.9228	3970.8147	3899.9885	11314.6772	7831.0611	13685.4232	4151.5754	443.5623	10391.2493	4613.6074	7015.4079	13946.1146	9733.1995	6196.4582	1395.1742	127.4792	648.4087	22149.5611	446.5814	6584.1532	112.1089	2831.949	6284.2988	95.4269	96.1555	252.4267	916.1726	4752.9687	433.0563	26135.0733	591.6927	182.0222	8823.6938	26972.0916	4564.1438	3949.6117	34.9954	1572.2384	12718.7031	1442.8678	421.0014	12050.6213	63.8477	229.6945	275.579	316.6038	1385.2623	6598.031	707.8798	334.4203	30132.6634	870.4031	3419.5388	1001.8811	443.8203	18329.5528	632.5109	319.0425	23859.8182	2190.7997	4223.7305	1778.6096	10052.6822	5059.7977	24194.5478	178.4257	629.8189	881.2944	3258.8224	10341.1742	307.6732	258.1151	14204.7322	245.1502	226.8906	5057.3218	21587.0925	306.7549	35.7364	483.4283	14493.3705	48.9049	273.1401	75.8506	81.1684	3323.2772	1671.0625	D-glucarate degradation I
GLUCARGALACTSUPER-PWY	291.5714	6592.1696	16.6718	2582.2939	1049.2847	3236.6994	127.8318	806.0991	2435.3105	1646.7837	495.8079	1696.0593	224.9757	291.5666	12101.3759	183.6275	124.1611	6153.5799	14.4289	118.0677	4509.4314	3975.0777	545.261	8129.1416	2710.9245	10181.5545	408.3567	636.867	24658.3204	22827.9341	890.0027	1725.7172	12835.1801	218.796	1833.2461	0.0	39.6921	11.4623	1252.4295	111.18	92.2505	168.8543	403.536	32.1715	4654.6845	170.7776	250.4842	0.0	1374.2532	631.9245	767.9094	26155.628	242.5662	15.848	21.4757	881.7238	383.2085	254.9645	162.1211	129.7446	10317.9568	178.1076	162.3387	213.2028	449.589	170.9799	526.2335	2448.3154	76.6491	72.5382	963.5636	2034.1445	236.1916	11232.6529	10.9008	667.048	251.1705	6490.1121	963.264	694.836	2573.0561	1155.3666	395.1152	13927.4025	16474.0066	912.2332	2679.3377	7851.8649	1277.0521	7986.4447	3646.8108	158.8708	7784.6137	3849.2313	2838.5515	12992.363	3453.0451	776.6535	1393.893	33.5431	568.217	8804.3569	68.2648	5730.6252	62.8846	2815.4459	6336.5936	51.9603	35.6546	174.5973	225.0019	617.5769	202.9284	14354.5521	202.6984	156.2211	3589.066	5480.7563	4432.1449	2464.9592	57.6578	1402.4106	3897.027	1276.455	181.5218	13164.3674	32.9488	228.0953	82.9261	76.694	1296.0065	6604.0091	110.5243	264.74	9654.6687	753.196	3015.3766	932.1713	229.2209	18322.0957	121.6123	221.9381	1421.9286	2065.0571	3579.9587	1224.0423	9844.0824	3058.4507	24175.7401	125.0519	363.9224	816.9684	1428.7886	10876.3987	222.2475	107.785	2911.345	39.1267	86.4042	5025.909	22781.6306	214.1086	16.8388	446.7383	4774.7938	42.7273	124.0778	31.0933	13.815	456.2516	1565.8101	superpathway of D-glucarate and D-galactarate degradation
GLUCONEO-PWY	8985.051	17950.9121	4283.676	20567.5745	11100.7763	19309.807	7057.1787	15202.5196	20828.9032	28594.5682	16791.4512	15671.4648	16865.7508	20038.5334	29167.372	20285.855	9847.2922	25314.2996	25571.1272	24255.4172	25318.8513	28191.1281	22100.8129	26673.8544	24657.3395	27131.6463	11135.365	26587.2081	43512.19	43008.6137	23140.0888	15377.6014	31230.5329	36098.3593	15457.2913	14898.6214	2649.4097	8420.0419	10771.7861	12506.8259	8359.5092	3265.2562	10840.1098	10726.8956	16068.2183	14132.2587	7075.6909	1560.1209	15010.374	23765.434	17227.7966	40365.2283	24853.5193	9831.4491	12257.246	6035.9467	17773.5303	13163.3243	10450.1046	18648.4592	30605.189	25289.141	24247.0648	11670.2051	17755.9032	10643.5021	16009.3442	39233.5242	12111.5275	7788.8633	11527.8228	21291.1612	18176.1061	28791.8162	12823.092	20243.9918	9505.4181	25519.3677	12937.0577	22412.7401	19132.866	22143.5134	32101.5858	40574.033	37140.6611	16470.2994	13814.3974	26125.6139	22043.1395	27315.7027	26546.4673	9314.1737	27885.0842	22733.5456	28963.9803	32641.2508	25531.9435	25226.9542	29755.9318	5371.5819	11767.5561	35365.1078	16526.1949	23387.2393	14074.3189	18305.6981	23761.7288	19048.0754	12053.5478	17683.3544	18657.7646	20122.2878	15076.1249	41668.996	24804.9479	19001.1342	21718.0329	41062.5987	18645.6122	16417.3574	2471.8527	19372.5089	25825.0013	14103.2614	12364.8946	29041.4157	13531.241	5219.1703	10748.1337	16226.4503	14519.7053	23698.5046	8690.2971	20421.1518	40690.853	16640.5915	15770.0511	14902.9605	16411.2552	29513.2705	13064.1092	11848.1338	40669.5995	20690.1807	24614.8918	14792.3115	28462.2313	21474.0087	37175.1856	17345.9133	26504.0296	15754.1676	13831.405	26354.4657	16513.8498	8460.0267	26370.4798	13347.9188	13956.7225	18112.9104	37020.9063	14453.2997	3395.0801	12821.0694	24726.0199	1052.2548	12026.6435	4074.724	11832.3076	18370.7301	11247.7178	gluconeogenesis I
GLUCOSE1PMETAB-PWY	1992.4824	11572.4765	9984.527	6992.1729	1562.2362	7253.1675	467.838	11968.6157	11005.4727	18408.8228	1695.8275	5440.6244	1810.8186	21486.644	16072.2323	9207.7389	12318.8637	13088.9748	157.3722	2685.8168	12155.7037	13338.8404	4235.023	14663.2256	9845.833	18897.9141	4444.2558	24286.7454	31896.8371	31820.4425	1515.7137	3931.3114	17673.518	24198.4715	2711.4228	4992.2869	4028.8015	12383.7252	10221.9133	7820.9043	8137.815	4542.6585	12877.1443	69.8424	15199.4435	14096.9492	11654.6926	5124.8031	18057.1003	1259.3481	14118.0053	27821.7018	3320.4845	230.948	1448.6074	38596.8443	13741.4902	4773.9512	1503.7864	4758.4631	15545.0085	2151.2234	14039.3288	17083.5573	12597.5169	3770.6542	24297.2797	21173.0386	20940.1403	276.0834	1494.4553	10880.6311	12631.6517	21266.771	601.7416	2775.0763	14049.6878	22255.9475	17927.9863	11528.6572	3308.8922	3460.4799	8414.1242	31715.4031	23865.3722	4246.3634	4329.2698	2850.9938	16516.5335	16607.6741	7656.8245	22749.8393	14332.891	27662.1301	28330.2154	21428.4034	13341.25	14472.2122	28499.1178	22920.3647	1360.2579	26190.8422	966.2903	10376.6105	165.4358	4482.4954	9399.5967	131.6106	472.3623	3525.9497	1298.4384	8340.5639	468.7472	30004.6064	12752.3668	694.1906	12215.0426	29012.3786	6477.8956	6022.8178	77.8364	2372.8147	15746.4726	2238.7405	1273.5682	16687.0652	358.7112	325.3886	614.4817	7817.7842	9857.4011	10295.994	1306.7978	185.1943	30500.7883	1221.3817	4639.2382	2117.9371	3028.6458	20547.6808	1937.5865	368.5241	27067.6807	5570.472	5320.494	3797.359	15194.6497	6712.4022	28042.5554	147.6349	5863.2833	1572.5711	4215.0153	16905.2981	1070.9689	1004.7016	18507.8556	488.294	1395.1174	9410.2592	30560.4486	5372.3872	4155.3662	669.8601	19585.645	7731.5198	238.0128	579.8824	12698.5476	4938.5052	2549.4379	glucose and glucose-1-phosphate degradation
GLUCUROCAT-PWY	2635.7958	12243.2075	1900.0673	8586.061	2349.8887	9167.1183	1819.5699	5127.1818	15578.9112	16695.5693	8934.5651	6783.1719	13378.5606	13033.1085	18958.4185	3891.3164	4623.8161	15128.0534	21370.2765	13932.6856	11738.4534	18636.9604	10513.6658	17330.1469	8822.7483	16249.3313	3850.6053	11598.5338	32319.9394	29451.5423	4446.297	4951.7768	25718.3706	23862.2895	7332.4655	6593.8678	1257.7759	2216.9064	6129.0373	6572.5448	5799.037	644.9175	3819.6163	2043.9381	10363.2428	7385.2005	3133.1726	143.3767	8351.4458	6689.7286	6275.5623	38674.2914	5229.8727	4031.4919	4011.0494	3329.3983	5500.4071	4099.7891	2922.9468	9019.3086	17709.0916	6170.6629	12719.418	2298.2985	4145.7548	5264.8662	3039.3527	27289.6057	7536.5624	2813.0585	4611.8119	11112.41	7412.0858	16384.0528	324.8731	6555.773	2368.4746	11008.4209	5094.479	7560.7373	5985.0036	11092.4736	7939.829	22136.4427	26767.0409	5432.0898	15971.5205	24182.0158	11963.1039	19860.931	14575.653	3805.1023	16083.5825	7131.9481	12056.6853	22931.7726	15240.6956	12739.0508	4880.0359	841.1261	3961.2436	24533.8686	3580.1791	12455.0125	2135.7478	6961.435	11647.4369	4251.1588	1889.0656	6330.9057	4146.7432	9972.3687	6934.4153	28830.5989	6550.241	2530.5758	10925.7669	30630.517	9249.6342	7204.5198	2576.8141	5436.4081	17994.447	5729.5738	2353.1109	18161.5151	2458.5294	2607.7653	3463.6824	3840.6482	2964.137	11395.3696	2128.8478	2926.5154	33030.2682	4510.9134	11553.6442	3524.2876	4496.9682	25141.3967	4712.6498	3009.1656	28807.6833	6728.0449	14335.096	5055.7085	13657.6063	15465.0479	33188.782	3186.8097	4152.5413	3010.8126	4651.2618	13920.0185	6888.1665	5100.4276	16342.2613	5001.8148	1925.0465	8145.0994	27487.9222	4761.7178	1447.1294	3046.2895	17494.3984	205.5918	3983.8247	3469.8697	2882.573	7076.5759	4727.2123	superpathway of &beta;-D-glucuronide and D-glucuronate degradation
GLUTORN-PWY	9212.2849	12707.3898	18311.4404	11480.5089	3258.4366	15735.2165	6293.6813	20391.9098	16816.1786	20810.4654	11663.1465	11508.4724	11086.1719	24253.452	17752.3293	14801.8416	22904.9476	15894.8282	6673.733	17049.9957	16924.5629	19931.6372	14821.9694	18337.1796	23035.0948	22532.7539	10257.0989	27994.4959	29302.3648	28992.8933	13919.4833	7104.9218	22747.5731	26955.3212	11887.5073	8843.2052	7043.0401	14439.0922	14219.5224	19675.8379	13277.1929	3078.0614	16320.4773	11536.2682	15379.4994	15645.5576	15723.4732	16168.4952	26491.001	24602.2701	24233.0842	30187.8688	22097.3689	7097.043	14463.8654	39084.2977	19570.937	10949.1462	8567.8633	11591.4302	19742.572	31032.6734	21873.005	18153.9087	16997.9281	11626.1726	29394.587	27823.289	22475.2403	12927.4712	15036.1847	17428.1661	17790.5862	22944.1141	2420.8167	16402.198	17017.2397	24387.1242	19545.689	15499.2746	14780.5838	15677.9076	29573.9504	34299.7009	29057.5616	12650.5636	14172.2614	18644.9531	20683.0485	21092.012	15611.5078	27024.7616	23251.4688	30678.3376	31648.1065	22841.6831	15064.3379	13508.3866	33488.2061	24499.1834	17445.3496	21511.5361	21068.1384	18581.4036	19227.5426	19306.1248	19322.5947	16009.2358	13119.7343	15028.6158	20432.1843	19809.0971	10076.3875	31798.7604	22241.9138	19687.4045	13410.8836	31680.0741	14947.1045	13676.5564	10243.7363	11754.509	18547.7359	14381.7406	8671.9551	22781.4051	13365.0519	14500.4725	12816.1056	14797.6299	10225.1483	19590.3571	18266.196	13865.8174	30317.7792	12567.3199	11439.1969	8954.6769	13364.1402	20853.0234	11452.1017	10455.5332	30998.7485	30265.7075	22195.5009	10960.5061	15646.0806	15015.5278	28589.1932	10256.3801	17463.8735	16279.7413	12992.9449	13977.7943	20204.1996	12246.2753	18369.3599	11548.842	12230.9577	20929.9921	26088.0941	16477.8577	15101.9644	11862.0895	20872.5653	5941.9877	9826.7083	6595.3545	18334.2995	15262.4643	11797.7592	L-ornithine biosynthesis
GLYCOCAT-PWY	12263.3819	18113.9391	18365.8017	26388.1782	13250.579	26745.7572	11149.792	25069.2514	23782.5602	31106.9102	15081.4826	20068.6216	19861.0264	30539.2486	30839.5397	25719.7395	24298.5421	27238.5779	8960.9648	26571.2513	21691.727	30549.7272	28027.1294	26686.3552	32600.2636	31254.7468	17607.9941	36157.5411	43921.5321	43369.6154	24927.9705	19482.8793	33324.1108	36931.5254	19590.3339	17068.5034	14042.6551	16167.7163	16641.1061	28141.9808	14968.7896	9547.073	18657.619	14013.9792	21775.9799	17038.7119	17257.14	17934.1907	31533.1339	30992.1708	25401.3228	36436.0729	33607.0594	17968.3339	22229.0808	41672.4397	25655.647	22330.1214	16258.682	14509.8236	31677.5468	40834.1436	27951.6219	29425.0351	24932.1311	22851.4492	27655.9057	50645.3225	25324.458	18900.3323	18133.4723	22330.282	21950.0997	27274.6353	4396.5653	28542.3257	17631.0799	26630.1987	21300.8423	28493.9287	22425.9907	25032.3663	26299.8371	43649.8381	34933.1397	24921.8575	33094.236	34631.1845	25997.3588	28601.469	40107.1147	33975.1226	30604.0468	30970.5154	35892.4491	31621.9439	21257.8474	27415.6246	36592.1331	24569.2887	20477.9468	38547.388	26039.0135	26422.206	18585.532	29880.9077	29341.3933	24347.9935	14710.8739	22751.4476	28173.6856	28472.5382	19097.6165	46266.5188	35053.0081	27221.6363	27144.4129	42716.9448	27702.2325	20829.4344	14469.8272	26072.2073	27927.3593	23775.0724	19854.6617	31482.042	16356.6903	16995.2384	13740.8128	20905.6408	26819.2971	27365.3818	24188.3423	25189.682	41002.0754	21010.6364	18218.9564	20396.0924	22149.5171	29520.0714	18206.0749	15301.5656	41228.0416	30850.7704	31098.239	22239.2093	35924.4736	23808.2666	39778.3555	21206.4394	22557.1359	23640.5962	22765.4306	30529.3916	24431.5495	17190.1206	28502.1385	19192.6912	22207.2995	29595.1534	34610.3011	20490.0755	19707.4687	13845.521	26582.9921	11363.5777	16292.8139	13829.6293	24288.8331	22517.0691	18771.0721	glycogen degradation I (bacterial)
GLYCOGENSYNTH-PWY	12443.7834	13335.5269	22314.6986	24889.2701	34001.5494	24309.29	15455.2242	27195.2821	20467.2836	23473.0549	11846.4822	22207.7701	16153.2497	27968.3617	25301.6888	18774.5364	27797.2027	23087.1529	7728.4115	20555.5857	16527.9914	24642.3166	24923.1834	20777.6146	26818.6748	27528.3692	17385.0084	33484.276	33887.5644	34371.3628	26199.8262	31362.4599	28160.0115	30981.9358	17298.6938	16762.861	16518.975	14108.1119	15764.2383	29633.0685	14542.1806	19778.6687	16225.9594	18217.8863	19350.8107	11129.1481	16447.7176	17120.1883	31468.9849	29750.4242	28507.9157	26679.63	33875.7984	29333.5529	25150.1169	39433.741	22110.8662	21812.8691	23958.0011	7713.24	26779.4497	45540.1053	24326.4306	28898.1018	18578.3923	28741.9445	29867.8825	35399.6849	21076.1226	23238.2458	23974.6054	20904.1093	11987.5533	17752.3935	1889.6907	27373.9723	16041.1841	14323.6327	21093.2498	20616.966	31803.738	19487.2407	30107.0605	30414.8143	23944.4648	31291.779	29837.6041	29929.9517	25618.2199	23644.8163	33250.0681	31802.1638	27509.8936	10276.107	22441.7163	23177.9525	18945.877	15882.9054	13471.1871	24629.2079	26872.6455	32886.846	34541.3752	22788.3141	27862.2647	31215.0976	28527.7876	25053.2904	20760.27	19981.6195	29591.9077	28627.461	16841.8602	37041.0929	31159.2867	30207.7294	25410.2001	34230.537	25859.5668	19046.5755	22383.2938	23628.6102	22199.7181	28238.6947	20377.5092	24886.6226	22204.0323	22805.1206	19245.9143	16672.8591	38973.3854	25024.8983	31567.66	23032.237	30909.352	19820.9105	14908.2304	20615.8439	20565.3414	21988.1067	17187.1256	18285.7159	32400.1158	45722.2012	29818.5308	25148.3186	32834.2895	19141.9928	27437.244	23565.2947	19335.861	27218.2119	22866.5622	25185.1438	30470.3698	20572.8855	24103.7272	24229.523	23228.111	25838.9088	26016.3462	20081.9512	21653.4283	21317.6993	22128.3988	16749.8559	16031.3311	16817.816	24991.6731	26818.3128	20433.1047	glycogen biosynthesis I (from ADP-D-Glucose)
GLYCOL-GLYOXDEG-PWY	142.7922	8340.8183	15.6445	5719.6255	1012.3525	3284.0657	430.9103	746.0829	9540.2279	12740.883	822.8082	4342.1821	382.1894	7885.8473	11320.8304	419.1565	842.0562	12421.3718	28.4946	536.7644	5823.7831	13191.8302	2981.4469	12638.8807	2922.62	6206.5484	3.9945	9263.1634	22473.3074	21948.0078	1946.2735	2839.7251	11253.7514	23119.638	1930.1065	4963.9975	172.3846	0.0	1238.6937	794.7167	30.2227	277.921	492.5364	32.8323	9067.7473	5185.2594	75.8402	20.1536	999.8951	43.6654	4520.2352	25203.4654	252.4912	153.7605	310.1647	1229.5837	2158.5193	411.6151	866.5063	242.067	9094.9254	1186.3108	9625.3466	530.3933	540.4583	195.2651	1348.877	15193.892	2266.2149	250.103	1097.163	8539.1347	17.9045	12871.2181	45.8549	1346.0096	211.0231	5799.8279	1225.2266	2593.5293	2060.1668	47.8752	4993.7516	13337.2663	22898.9921	2541.1935	906.4813	2848.3263	9883.4334	14456.5379	3608.8782	279.3323	12889.9837	4981.2338	7309.8235	16035.6604	10331.6691	10718.852	1334.9388	285.6101	703.8922	24919.8719	713.0988	7181.5177	34.2991	2355.3874	2768.4086	63.4463	37.8687	212.4773	1257.0693	5974.9392	793.9934	30005.2257	1304.4866	216.8972	9988.8816	30465.8694	4355.209	4733.7667	0.0	1758.1287	13807.1134	1253.0896	155.2202	9557.5389	108.9664	0.0	354.3971	249.8441	1288.3557	6101.4294	854.235	188.1864	33734.1619	1069.6062	3832.6509	955.0838	452.0827	11602.6495	747.447	327.589	27561.6265	1830.4393	452.8684	2006.5889	10232.0591	8292.979	24453.5184	176.0847	760.6245	1155.2208	3488.6552	10015.6183	442.1921	108.7255	14585.8064	90.8351	557.2343	536.5983	20405.9519	586.4171	22.3841	476.9505	17122.2137	14.7819	306.5779	64.8486	177.1245	4007.5017	21.8905	superpathway of glycol metabolism and degradation
GLYCOLYSIS	11061.7076	18399.5533	20455.0245	19074.7381	9303.7434	23289.9127	10555.0496	28990.6616	24321.0437	32947.8457	17867.389	16221.8805	19419.1	29803.3407	30017.5113	22522.7298	29701.7821	26542.3064	31440.485	25825.7076	27435.4085	30821.2408	25272.0637	28513.3162	25601.658	32851.2537	15450.379	37662.6476	43356.371	44611.0022	20997.6729	13658.4892	35325.082	38578.9333	14806.3907	14299.9367	13286.4611	11990.9798	14061.0068	24986.1722	15163.6782	16039.4111	15926.0129	9653.5061	21278.5724	17538.372	13812.5527	9343.6736	28362.5141	25547.9018	30061.7433	41035.724	28085.0	4916.7518	14074.6686	14485.6619	24120.7252	20061.6397	12683.9439	19607.4165	31598.9898	19620.5535	27921.4644	24518.5583	21200.1111	20868.1185	28952.0337	41223.7642	20599.1387	12183.6172	8508.5891	22847.994	19345.4651	29976.2658	16242.0721	21548.1218	14633.2406	25939.5229	18557.3857	27600.9	20945.4095	26157.4033	32379.5254	45050.1168	35594.328	15250.8171	21816.8377	21588.0841	29064.6159	28259.5095	29188.3297	28396.0861	36117.1695	28003.1253	36260.7488	35737.231	33904.0202	31276.0153	26961.6257	12030.0686	14322.2742	38113.4681	9011.565	22424.797	7766.5107	16660.8634	22931.5713	14998.0846	17202.0797	16972.0885	22701.1039	21073.9511	15461.0413	43899.4743	32188.9245	21074.4983	22145.4382	43404.7429	20130.7724	19604.1993	5372.6024	19549.0235	27724.5556	14120.7272	17350.0195	29923.7018	10944.967	10385.8039	16051.755	19221.7104	32556.9313	22640.3952	8911.1695	22581.6323	43625.7175	15947.629	16664.3411	15531.7946	18800.2782	31571.7435	14724.0047	9673.9227	42878.8347	28534.371	28559.6821	14574.0476	29448.78	24301.3323	37845.7546	17336.2477	31662.0528	12398.5121	13335.6943	27715.6782	16209.9207	10793.8864	28972.6352	9690.9332	13911.4418	27605.0287	35735.3576	19698.5147	17469.2868	6682.404	28873.0668	15574.855	9703.6685	7531.5892	22371.2116	16756.4657	12749.408	glycolysis I (from glucose 6-phosphate)
