	AD	C	MeanDecreaseAccuracy	MeanDecreaseGini
Butyricimonas	1.59586497843982	-0.561212835070772	0.897869117425823	0.0591677755293273
Acidaminococcus	-1.00100150250438	1.05946827449173	0.844145947675207	0.0927580561190639
Scardovia	0.277909276689078	0.73994896892418	0.836602052253571	0.0405013578782722
Oscillibacter	0.515342234821712	0.549639774584797	0.833313860133324	0.217531936668672
Olsenella	0.82139131418517	0.132266502528125	0.805340967305515	0.115572575459132
Christensenella	0.0830460525871121	0.72799238491593	0.800465693513943	0.0314932509257346
Methanobrevibacter	-0.388348692805858	1.24247460624264	0.780407849071813	0.061032174858221
Anaerotruncus	-0.286096253318395	1.08369860677504	0.696383994482792	0.0945477333299571
Coprococcus	-1.07362546274404	1.16231419462717	0.667788525903939	0.467396649061878
Subdoligranulum	3.21092244699853	-1.38720512289346	0.650556593046442	0.532522570054365
Slackia	0.684641166489482	0.448480864069619	0.650123938170816	0.149146958779162
Pelagibacterium	-0.433948719384314	1.37190012391224	0.620261529026495	0.261969060238562
Faecalitalea	0.145697106132153	0.662908937386821	0.614637097153956	0.14402621229357
Lachnospiraceae_UCG.004	1.00100150250438	0.100759567316938	0.613101075476154	0.0483612820508199
UCG.010	-0.578618500400069	1.72087024781577	0.561331086821705	0.0865628747405395
Blautia	-0.68086186326037	1.48062844633399	0.524721262491006	0.494656813598477
Actinomyces	1.31326655760988	-2.10932782860244	0.455665990560131	0.12543151750658
Adlercreutzia	0.792085581911677	-0.090350417538175	0.432648572983475	0.151200448690533
Veillonella	1.05275528762185	-0.276510048087036	0.38981000985341	0.488784141766535
X.Eubacterium._hallii_group	-1.29156891458782	1.57515267810884	0.369738907891596	0.313615960832901
X.Eubacterium._ventriosum_group	-0.29133534255346	0.9889798670224	0.361655451561035	0.246153527032597
Erysipelotrichaceae_UCG.003	0.565788875831749	0.334058563356191	0.346982243940484	0.353845221722937
NK4A214_group	1.54412299790309	-0.967306511753046	0.302483579881067	0.141290017463867
Dorea	-0.356236305303505	0.74535470597152	0.300488353128405	0.459589637492312
Lachnospiraceae_ND3007_group	2.03088663853329	-0.96912596425095	0.296245701794798	0.196802468656741
Barnesiella	-0.329408510960527	0.900267084593582	0.295845970759337	0.252327802501379
Solobacterium	0.579541416450323	-0.156177571144113	0.260689346653951	0.0327476479736442
Alistipes	-0.740834406237575	0.936809821999994	0.232935767445106	0.150206182507685
Fusicatenibacter	0.1083415208429	0.135803847714908	0.224543901997871	0.711259753579447
Enterobacter	1.06001104786231	-0.827871785330632	0.181301874821974	0.187763022314162
X.Clostridium._methylpentosum_group	-1.73067478045453	1.24710926351988	0.169332603829475	0.0330859420149743
Megamonas	2.08839824638174	-1.87126518574233	0.165524661195064	0.114594779747784
Desulfovibrio	-0.387929432544138	0.333338882305322	0.0670382618585215	0.324705246897822
Anaerococcus	0.171201757059497	0	0.0441726966206502	0.0409461909447884
CHKCI002	0	0	0	0.00175030303030303
Paraeggerthella	0	0	0	0.0672518867122596
CAG.873	0	0	0	0
Porphyromonas	0	0	0	0.0103405342624855
Prevotellaceae_NK3B31_group	0	0	0	0
Clostridium_sensu_stricto_13	0	0	0	0.00383333333333334
GCA.900066575	0	0	0	0.0207184218672024
Shuttleworthia	0	0	0	0.00398961038961039
UC5.1.2E3	0	0	0	0
Peptococcus	0	0	0	0.0143746191792704
X.Eubacterium._brachy_group	0	0	0	0.0139861237163563
Clostridioides	0	0	0	0
Murdochiella	0	0	0	0
Tepidimicrobium	0	0	0	0.0104692542119487
Cetobacterium	0	0	0	0.00569187675070029
Raoultella	0	0	0	0.00380952380952381
Leuconostoc	-0.245784422643061	0	-0.0139839362562214	0.0610104908332233
Enterorhabdus	0.263341454840961	-0.395987269405093	-0.0244447446032551	0.0606686561804064
Saccharimonadaceae	-0.193449979607194	0.20920055883256	-0.026725271781377	0.0916625004347733
Weissella	0.890209317318639	-0.930755456179956	-0.0589089715669111	0.117430811769155
Corynebacterium	-1.00100150250438	1.00100150250438	-0.100759567316938	0.0131120065120065
RF39	-0.140722295553759	-0.118167253316706	-0.176896749751055	0.0443433585737934
Candidatus_Soleaferrea	-1.51646313452473	1.29550901821269	-0.194147486794869	0.0956802431643826
TM7x	0.514871494716777	-0.440053897728896	-0.242854685765794	0.102853070470137
Clostridium_sensu_stricto_1	-0.566329117539503	0.0965329394118268	-0.259346899883409	0.404309289343269
Lachnoclostridium	-0.724062072370045	0.479752584871131	-0.288064345196182	0.337256752402672
Bacteroides	-1.13089405221344	0.536526156746358	-0.336677596151624	0.322019802253191
X.Eubacterium._nodatum_group	-0.729215116056385	1.00100150250438	-0.354355465400127	0.0494254757459991
Pygmaiobacter	-1.00100150250438	1.00100150250438	-0.377063212027698	0.0285282938250444
Terrisporobacter	0.59836124250379	-1.4159136794715	-0.416433784804982	0.131995826423175
Romboutsia	0.490463346608806	-1.05789221746637	-0.452183329037326	0.513552130575437
Fusobacterium	0.548028946434763	-1.16073126850626	-0.503811563610067	0.12232835226568
X.Eubacterium._siraeum_group	0	-0.602386412279564	-0.519738681377995	0.0359933947772657
Parvimonas	-1.41285987182396	1.00100150250438	-0.568390070665538	0.0465508830036209
Lachnospiraceae_UCG.010	0.898126158336437	-1.68315157361096	-0.575455874568783	0.122786411977726
UCG.002	-0.490333194219854	-0.751155652467073	-0.706796334941773	0.327154234457165
Prevotella	-1.05092617380736	0.501609512510948	-0.72952613134603	0.11954123458381
Gemella	-0.5346724351724	-0.801390241156073	-0.754014429447981	0.094235928596362
Fenollaria	-1.00100150250438	-0.837395884141795	-0.760337201942855	0.0416805277440411
Holdemanella	-0.186914255276103	-0.746473078087926	-0.777669424434294	0.105043604341957
Anaerostipes	0.105642501925162	-1.32302017192714	-0.779376078038665	0.344362754455366
X.Ruminococcus._torques_group	-0.420394595907015	-0.589820619378511	-0.80139252710666	0.460632592333294
Colidextribacter	-0.472939274097208	-0.563187273761148	-0.807067147460547	0.199437497628695
Pyramidobacter	-0.819752855513162	-0.749744061853428	-0.854623502883001	0.0796464604669025
Odoribacter	-0.498163669854503	-0.582520712542806	-0.895452531045835	0.113904299454784
Fournierella	-0.534693027397419	-1.27282344542015	-0.920053078874703	0.0600940021166771
Holdemania	-1.50270744191363	-0.268513810314085	-0.962159546275474	0.130202980603623
Rothia	-1.00100150250438	0	-1.00100150250438	0.0651031096594524
Muribaculaceae	-1.00100150250438	0	-1.00100150250438	0.0129559570863919
Catenibacterium	-1.00100150250438	0	-1.00100150250438	0.0518919002011049
Lachnospiraceae_UCG.003	0	-1.00100150250438	-1.00100150250438	0.01750167119702
Paludicola	-1.00100150250438	0	-1.00100150250438	0.0345131587428008
Ezakiella	-1.00100150250438	0	-1.00100150250438	0.00642222222222222
Mitsuokella	-1.00100150250438	-1.00100150250438	-1.00100150250438	0.0116214008214008
Saccharimonadales	-1.00100150250438	0	-1.00100150250438	0.0313183927183927
Enorma	-1.00100150250438	0	-1.00100150250438	0.0284075849470223
Merdibacter	-1.00100150250438	0	-1.00100150250438	0.0264701819919211
X.Eubacterium._fissicatena_group	-1.00100150250438	0	-1.00100150250438	0.0186434101226698
Frisingicoccus	-0.0382080917733204	-1.41607569277225	-1.0267292334294	0.0286795281347006
Klebsiella	-0.883369437211142	0.00713452075446085	-1.03582480980294	0.257489441483182
Flavonifractor	-1.02188472359456	-0.533467656621845	-1.04496719036983	0.241449768671773
X.Clostridium._innocuum_group	-0.0187377962394486	-0.957402041656522	-1.07917961142969	0.131515516158803
Peptoniphilus	-1.28141558345321	0.108466504993364	-1.10646961169129	0.0488637393082673
CAG.352	1.2286217531513	-2.51814278543926	-1.13407381046918	0.174464373570308
DTU089	-1.57511111627052	-0.326097724767069	-1.17875999965082	0.0694763894702695
Streptococcus	-1.57929338209713	-0.251195901427782	-1.23842203327117	0.361117639058068
Parabacteroides	-1.15443372716124	-0.521812149349955	-1.24351161267017	0.177358735043194
Howardella	-0.699932515932878	-1.67056174837328	-1.32253099431824	0.0708435932533526
Sutterella	-0.935648550123946	-1.29662538565291	-1.32872311053016	0.0668761893809332
Moryella	0.201956334490572	-1.99989415249064	-1.34744296250105	0.0581499271261288
Finegoldia	-1.40400492140558	-1.00100150250438	-1.35925207343156	0.0171759460590459
Eisenbergiella	-0.896470030675088	-1.14814829630122	-1.37197732681166	0.201671713384121
Catabacter	-1.00100150250438	-1.00100150250438	-1.40714185952848	0.0355532952752518
Raoultibacter	1.00100150250438	-1.73244917270846	-1.41631084259087	0.0231447385947386
Intestinimonas	-1.00100150250438	-1.00100150250438	-1.41631084259087	0.0329302889379312
Anaeroglobus	-1.41705050316284	0	-1.41635631561828	0.0591880088200244
Christensenellaceae_R.7_group	-1.8515736123062	-0.0722383021406476	-1.426624935011	0.319525581178325
Lachnospiraceae_FCS020_group	-0.643946618211595	-1.6737542299302	-1.56560058136998	0.114839602809159
Family_XIII_UCG.001	-0.656771065760519	-1.75742925867487	-1.56899221591748	0.0722916380294193
UCG.005	-0.456756843335044	-1.32194369364024	-1.66886571237326	0.164111284610536
Ruminococcus	-0.897178002120784	-1.5875030542297	-1.68885633120381	0.239654760183458
Atopobium	-1.36160134597151	-1.91764975590588	-1.69999763069386	0.0726261544153981
Marvinbryantia	-1.16484010255182	-1.71578572932517	-1.91772739357324	0.0547007885771219
Granulicatella	-1.72897992373829	-1.3932675002068	-1.9286675736561	0.0301888964261682
Lactococcus	-1.72718000771041	-1.40050758952657	-2.22664004366777	0.037495261107471
X.Eubacterium._coprostanoligenes_group	-2.44952840394367	-0.742558127846557	-2.28659587847506	0.286580085920592
Intestinibacter	-1.65987671572681	-1.49441945039782	-2.36544473621894	0.290936100796684
Negativibacillus	-1.32445112893011	-1.87931265746912	-2.54733510108213	0.0528198576161125
