	AD	C	Rank1	Phylum	Class	Order	Family	Genus	Species	ID
409f711b59152d57926cf444c5577087	-0.045055437219372	0.0634583622808055	Bacteria	Firmicutes	Bacilli	Lactobacillales	Streptococcaceae	Streptococcus	Streptococcus_salivarius	409f711b59152d57926cf444c5577087
427f5142ae52662b7db0bdd5689461f0	0.0643260533271161	-0.0906000751086142	Bacteria	Firmicutes	Bacilli	Lactobacillales	Enterococcaceae	Enterococcus	NA	427f5142ae52662b7db0bdd5689461f0
db92d5e78fb94056efc409ace74df645	0.0922153371018609	-0.129880756481494	Bacteria	Firmicutes	Negativicutes	Veillonellales_Selenomonadales	Veillonellaceae	Megasphaera	NA	db92d5e78fb94056efc409ace74df645
35fd41579b5eec27ec14c400c586c480	-0.100996683308974	0.142248849730949	Bacteria	Firmicutes	Negativicutes	Veillonellales_Selenomonadales	Veillonellaceae	Dialister	NA	35fd41579b5eec27ec14c400c586c480
d6403e5b4389d1c8f2e1c218c0a59134	0.0239473335686121	-0.0337286388290311	Bacteria	Firmicutes	Negativicutes	Veillonellales_Selenomonadales	Veillonellaceae	Veillonella	NA	d6403e5b4389d1c8f2e1c218c0a59134
32dfb2ca0b726df5e8b03be6cb6a3e65	0.0825486765992094	-0.116265741689027	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Acidaminococcus	Acidaminococcus_sp.	32dfb2ca0b726df5e8b03be6cb6a3e65
fb7a1c0b3625f00ee42dbfcbaa001f12	0.0464111228773172	-0.0653677787004467	Bacteria	Firmicutes	Negativicutes	Acidaminococcales	Acidaminococcaceae	Phascolarctobacterium	NA	fb7a1c0b3625f00ee42dbfcbaa001f12
f2cbb29998f80ea0d81f9cde98ee136e	-0.15121540302951	0.212979440886634	Bacteria	Firmicutes	Clostridia	Clostridiales	Clostridiaceae	Clostridium_sensu_stricto_1	NA	f2cbb29998f80ea0d81f9cde98ee136e
fb2e43a3fe8a2da6f9832efdaa5b412e	0.08059173659501	-0.113509488161986	Bacteria	Firmicutes	Clostridia	Christensenellales	Christensenellaceae	Christensenellaceae_R_7_group	NA	fb2e43a3fe8a2da6f9832efdaa5b412e
9be8e4d4919ec569eb355cb676c02eef	0.0694711214055541	-0.0978466498669776	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	Flavonifractor	NA	9be8e4d4919ec569eb355cb676c02eef
494e65560668c776b1b9e745b349c50d	0.000857517644076813	-0.00120777132968563	Bacteria	Firmicutes	Clostridia	Oscillospirales	Oscillospiraceae	UCG_002	NA	494e65560668c776b1b9e745b349c50d
4608cf2aa614ad44e2e4c90e5145221e	-0.101095898248845	0.142388589082881	Bacteria	Firmicutes	Clostridia	Monoglobales	Monoglobaceae	Monoglobus	NA	4608cf2aa614ad44e2e4c90e5145221e
62c336937d9c98f93521f014e1f21a63	-0.218356000219536	0.307543662281037	Bacteria	Firmicutes	Clostridia	Oscillospirales	Butyricicoccaceae	Butyricicoccus	NA	62c336937d9c98f93521f014e1f21a63
75a7dd04040e23328468b763836841ac	0.0407752769933575	-0.0574299675962782	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	CAG_352	NA	75a7dd04040e23328468b763836841ac
4df8473b0be4ef1e59f0b0709c586919	0.206914929687196	-0.29142947843267	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	UBA1819	NA	4df8473b0be4ef1e59f0b0709c586919
4516aa60a483dd8c7bbc57098c45f1a5	-0.252646318307223	0.35583988493975	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Faecalibacterium	NA	4516aa60a483dd8c7bbc57098c45f1a5
c6fdf631c16099e62a83c66db8a7a6f1	-0.00848604974985013	0.0119521827462677	Bacteria	Firmicutes	Clostridia	Oscillospirales	Ruminococcaceae	Subdoligranulum	NA	c6fdf631c16099e62a83c66db8a7a6f1
6a57339163b1db2da81ab332dc9b1823	-0.0728219105993413	0.102566071266678	Bacteria	Firmicutes	Clostridia	Oscillospirales	_Eubacteriucoprostanoligenes_group	_Eubacteriucoprostanoligenes_group	NA	6a57339163b1db2da81ab332dc9b1823
bc9350a59b80d8d6ba12aa3b47ef571d	-0.00638523148024691	0.00899328377499554	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Coprococcus	NA	bc9350a59b80d8d6ba12aa3b47ef571d
31c7bc067538dcf7916e8b7cbefa44e5	-0.133129340233942	0.187506113005552	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Anaerostipes	NA	31c7bc067538dcf7916e8b7cbefa44e5
19ff2a801156e1930f697799d400fa95	-0.217008557876862	0.305645856164594	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	_Eubacteriuruminantium_group	NA	19ff2a801156e1930f697799d400fa95
11902be998c8092e98cbe98af2f648af	0.146708575298531	-0.206631796195115	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	_Ruminococcugnavus_group	NA	11902be998c8092e98cbe98af2f648af
ad89a9d5fec4408fafb73e7225f44d08	-0.0470736072860147	0.0663008553324151	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Dorea	NA	ad89a9d5fec4408fafb73e7225f44d08
8f6e2a91e20994c00566a5ff2b49506e	0.013060222097007	-0.0183946790098689	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Blautia	NA	8f6e2a91e20994c00566a5ff2b49506e
93b58b0ba0d326e9c8d1a81f8672c16a	0.022960054633083	-0.0323381051170183	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	_Ruminococcutorques_group	NA	93b58b0ba0d326e9c8d1a81f8672c16a
7b6d335d29fb8edf989ba7d03a848d84	-0.235785262560574	0.3320919190994	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Roseburia	NA	7b6d335d29fb8edf989ba7d03a848d84
b264ac8ff5f9aff74f0b9aa084d9a9f0	-0.267138281810504	0.376251101141554	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Agathobacter	NA	b264ac8ff5f9aff74f0b9aa084d9a9f0
9df251784dde31e05f02b2ee1029d71c	-0.103066267585177	0.145163757162221	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Fusicatenibacter	NA	9df251784dde31e05f02b2ee1029d71c
a00b4fdac316fe32b233507d015a5712	-0.10763546147287	0.151599241511085	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	CAG_56	NA	a00b4fdac316fe32b233507d015a5712
707940842caa2afe60491008e04a8173	-0.0271952519370096	0.038303171742267	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnospiraceae_NK4A136_group	NA	707940842caa2afe60491008e04a8173
7cd4efa29b942711d9a324e442bd9268	0.0410250766601608	-0.0577817981129025	Bacteria	Firmicutes	Clostridia	Lachnospirales	Lachnospiraceae	Lachnoclostridium	NA	7cd4efa29b942711d9a324e442bd9268
